resID,res,res_id,acres,ai,area_mn,ca,cai_mn,circle_mn,clumpy,cohesion,contig_mn,core_mn,cpland,dcad,dcore_mn,division,ed,frac_mn,gyrate_mn,iji,lpi,lsi,mesh,ndca,nlsi,np,para_mn,pd,pladj,pland,shape_mn,split,tca,te
BC,Big Creek Reservation,2,772.72219,88.92088512,479.5714286,3357,54.69178914,0.698941418,1.017905914,96.98024637,0.749106057,318.7142857,2.100258884,0.016003766,2.428571429,0.999728138,0.030124735,1.093046178,1554.349372,0,1.130618969,7.301724138,28.87857849,17,0.110791149,7,0.008886393,0.006589786,99.72802992,3.160273005,2.438564114,3678.332022,2231,3200
BE,Bedford Reservation,1,2601.848472,96.63376023,1031.909091,11351,40.54866262,0.552445843,1.010846581,98.42076236,0.505812732,899.1818182,9.311367381,0.013179572,1.272727273,0.994094794,0.010355378,1.050099719,989.3751999,20.27256932,7.488820899,4.537383178,627.2804989,14,0.033662398,11,0.019120125,0.010355378,99.97469694,10.68580843,1.647719014,169.3421048,9891,1100
BK,Brecksville Reservation,4,4306.518246,95.94286786,1342.571429,18796,42.2438396,0.67728095,1.009094359,99.1153121,0.748705384,1139.428571,15.01718051,0.038597317,2.928571429,0.98096019,0.016945164,1.069730372,1126.815428,35.50860302,13.54012709,6.505454545,2022.503799,41,0.040571321,14,0.008476925,0.013179572,99.97486876,17.69451636,1.866258373,52.521533,15952,1800
BR,Brookside Reservation,5,107.1971867,94.11111111,472,472,70.55084746,0.729049114,1.038799009,95.6907272,0.882062147,333,0.313485526,0.002824194,3,0.999980256,0.023534949,1.104517162,1003.511996,0,0.444339845,2.204545455,2.097284067,3,0.058888889,1,0.004110169,0.000941398,98.54566608,0.444339845,2.231937414,50648.83755,333,2500
BW,Bradley Woods Reservation,3,831.5619936,97.15292459,515.4285714,3608,12.56289498,0.584857666,1.018495916,98.37417065,0.372926981,445.8571429,2.938103083,0.002824194,0.428571429,0.998883594,0,1.048003637,485.600033,0,3.341021417,2.669421488,118.5902754,3,0.028470754,7,0.022621765,0.006589786,100,3.396563897,1.43745267,895.7311186,3121,0
EC,Euclid Creek Reservation,6,556.3777803,93.34604789,1204.5,2409,76.27998679,0.723646749,1.023524674,97.69022516,0.901024432,923,1.737820664,0.003765592,2,0.99966599,0,1.126432747,2117.601632,0,1.753824429,4.171717172,35.48020711,4,0.066539521,2,0.003524535,0.001882796,100,2.267827724,2.887464591,2993.922772,1846,0
GP,Garfield Park Reservation,7,224.079314,92.4137931,324.6666667,974,38.46366424,0.700754906,1.037869569,95.38472647,0.634333547,230.3333333,0.650506001,0.006589786,2.333333333,0.999942952,0,1.093868088,1003.772588,0,0.733349023,3.26984127,6.059910567,7,0.075862069,3,0.013312518,0.002824194,100,0.916921629,2.21390222,17529.13658,691,0
HI,Hinckley Reservation,8,3083.945039,98.09209044,2685.8,13429,58.1689646,0.653705217,1.010192443,98.9148695,0.790949771,2435.8,11.46528595,0.006589786,1.4,0.989241044,0.002824194,1.083855791,1634.428872,0,10.16615674,3.189655172,1142.870068,7,0.019079096,5,0.007560747,0.00470699,99.99425716,12.64203342,1.929775859,92.94582381,12179,300
HU,Huntington Reservation,9,99.44816964,96.45476773,215,430,36.24708625,0.374825077,1.056453424,95.33145177,0.451048951,155.5,0.292774771,0.001882796,1,0.99998369,0,1.033410008,403.3296118,0,0.403859732,1.69047619,1.732567663,2,0.035452323,2,0.021608392,0.001882796,100,0.40480113,1.332729906,61310.73682,311,0
MS,Mill Stream Run Reservation,10,3464.060495,96.56417112,1885.375,15083,32.92287137,0.651551044,1.009209093,99.07442065,0.501503898,1644.375,12.38409037,0.013179572,1.75,0.987572732,0.036714521,1.076166666,1502.731442,16.28216093,10.81477995,5.178861789,1320.086562,14,0.034358289,8,0.018014901,0.007531184,99.93255279,14.19910567,2.016552369,80.46820799,13155,3900
