
Call:
msPGOcc(occ.formula = bbs_occobject_global.occ.formula, det.formula = bbs_occobject.det.best.formula, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, n.report = 6000, 
    n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 56.5753

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-sp1          0.2340 0.2189 -0.1116  0.2263  0.5983 1.0000 1200
(Intercept)-sp2         -4.6154 1.2222 -6.5500 -4.6699 -2.5809 1.0076  794
(Intercept)-sp3         -0.0006 0.3910 -0.5431 -0.0505  0.6397 1.0243 1200
(Intercept)-sp4          2.6936 0.8529  1.7358  2.5289  4.2499 1.0026  862
(Intercept)-sp5         -4.4353 1.3088 -6.4682 -4.4972 -2.4585 1.0133  557
(Intercept)-sp6         -2.4841 0.5525 -3.3129 -2.5436 -1.5385 1.0089 1200
(Intercept)-sp7          2.4787 0.3953  1.9102  2.4325  3.1850 1.0028 1060
(Intercept)-sp8         -4.1978 0.9036 -5.6645 -4.1849 -2.7753 1.0038  941
(Intercept)-sp9         -3.2363 1.2162 -4.9742 -3.3502 -1.2083 1.0342  521
(Intercept)-sp10        -3.6512 1.1352 -5.4050 -3.7054 -1.7567 1.0080  617
(Intercept)-sp11        -4.2125 1.2134 -6.0845 -4.2291 -2.2049 1.0031  777
(Intercept)-sp12        -0.1700 0.3474 -0.6892 -0.1887  0.4565 1.0052 1200
(Intercept)-sp13        -1.8638 0.7451 -2.8706 -1.9710 -0.4977 1.0006  784
(Intercept)-sp14         3.1328 0.8145  2.1168  2.9961  4.6881 1.0032  904
(Intercept)-sp15        -0.9584 0.8347 -2.0568 -1.0724  0.4083 1.0167  692
(Intercept)-sp16         1.3498 0.4611  0.7229  1.2916  2.1047 1.0241 1200
(Intercept)-sp17         2.0201 0.4701  1.3545  1.9563  2.8841 1.0064 1200
(Intercept)-sp18        -4.2735 1.2975 -6.3524 -4.3253 -2.0728 1.0136  627
(Intercept)-sp19         2.2398 0.3895  1.6981  2.1909  2.9143 1.0017 1200
(Intercept)-sp20        -5.7820 1.6136 -8.4656 -5.6978 -3.2912 1.0039  711
(Intercept)-sp21        -2.2527 0.5140 -3.0437 -2.2674 -1.3583 1.0230  848
(Intercept)-sp22        -3.4277 0.9623 -4.8878 -3.4529 -1.9107 1.0059  925
(Intercept)-sp23        -5.7915 1.6251 -8.6299 -5.6925 -3.3163 1.0302  629
(Intercept)-sp24        -3.7298 1.1294 -5.4787 -3.7773 -1.7686 1.0036  477
(Intercept)-sp25        -2.9899 0.7912 -4.1170 -3.0606 -1.5804 1.0175  637
(Intercept)-sp26        -0.7118 1.3703 -2.3321 -0.9781  1.9595 1.0479  328
(Intercept)-sp27         0.1433 0.4059 -0.4608  0.1170  0.8786 1.0172 1134
(Intercept)-sp28        -0.1525 0.3303 -0.6659 -0.1668  0.3959 1.0094 1200
(Intercept)-sp29        -5.8379 1.5697 -8.5459 -5.7413 -3.3934 1.0210  683
(Intercept)-sp30        -0.7889 0.4604 -1.4116 -0.8463  0.0532 1.0065 1200
(Intercept)-sp31         1.1735 0.7033  0.3159  1.0528  2.5192 1.0057  743
(Intercept)-sp32        -4.3270 1.3238 -6.4709 -4.3184 -2.2634 1.0091  534
(Intercept)-sp33         0.3782 0.4638 -0.3112  0.3539  1.1882 1.0059 1424
(Intercept)-sp34        -2.3554 0.6747 -3.2967 -2.4410 -1.0931 1.0091 1084
(Intercept)-sp35        -1.1664 0.2481 -1.5555 -1.1675 -0.7677 1.0096 1200
(Intercept)-sp36        -2.0001 0.4388 -2.6929 -2.0218 -1.2480 1.0020 1309
(Intercept)-sp37         2.4885 0.7364  1.6396  2.3499  3.6745 1.0254  927
(Intercept)-sp38        -0.6301 0.6177 -1.4835 -0.6968  0.5063 1.0236  959
(Intercept)-sp39        -3.2708 0.5131 -4.1229 -3.2560 -2.4817 1.0075 1200
(Intercept)-sp40        -4.2675 0.9014 -5.7338 -4.2885 -2.8291 1.0125 1018
(Intercept)-sp41        -1.3365 0.4940 -2.0579 -1.3823 -0.4501 0.9996 1200
(Intercept)-sp42        -1.3633 0.3171 -1.8711 -1.3733 -0.8325 1.0053 1392
(Intercept)-sp43         2.6790 0.4316  2.0306  2.6278  3.4415 1.0023 1200
(Intercept)-sp44        -2.0715 0.3652 -2.6555 -2.0797 -1.4657 1.0139 1403
