RowID,Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig,SpeicesName,Migrant Status
1,Occupancy,ACFL,monocots,0.7413,0.2577,0.331,0.7326,1.183,1.0007,5700,T,YES,Acadian Flycatcher,Tropical Migrant
2,Occupancy,ALFL,monocots,-0.2857,0.4659,-1.0643,-0.2825,0.4582,1.0004,5700,T,NO,Alder Flycatcher,Tropical Migrant
3,Occupancy,AMCR,monocots,-0.1388,0.3054,-0.6448,-0.139,0.3557,1.0009,5700,S,NO,American Crow,Short-Distance Migrant
4,Occupancy,AMGO,monocots,-0.1732,0.451,-0.8953,-0.1808,0.5987,1.0019,5336,S,NO,American Goldfinch,Short-Distance Migrant
5,Occupancy,AMKE,monocots,-0.1545,0.4583,-0.911,-0.1527,0.5842,1.0007,5700,S,NO,American Kestrel,Short-Distance Migrant
6,Occupancy,AMRE,monocots,-0.0774,0.3584,-0.6771,-0.0724,0.5099,1.0015,5700,T,NO,American Redstart,Tropical Migrant
7,Occupancy,AMRO,monocots,-0.4188,0.3299,-0.9702,-0.4149,0.1159,1.0003,5700,S,NO,American Robin,Short-Distance Migrant
8,Occupancy,AMWO,monocots,-0.3328,0.4391,-1.0563,-0.3264,0.3749,0.9998,5430,S,NO,American Woodcock,Short-Distance Migrant
9,Occupancy,BADO,monocots,-0.2148,0.4361,-0.9538,-0.207,0.5071,1.0015,5235,R,NO,Barred Owl,Resident
10,Occupancy,BAEA,monocots,-0.2656,0.4352,-0.9905,-0.2655,0.4339,1.0059,5334,S,NO,Bald Eagle,Short-Distance Migrant
11,Occupancy,BANS,monocots,-0.4654,0.4581,-1.2319,-0.4493,0.2644,1.0015,5727,T,NO,Bank Swallow,Tropical Migrant
12,Occupancy,BAOR,monocots,-0.3057,0.2691,-0.7614,-0.3047,0.1335,1.0016,4105,T,NO,Baltimore Oriole,Tropical Migrant
13,Occupancy,BARS,monocots,-0.5688,0.3818,-1.2183,-0.5622,0.0489,1.0014,5700,T,NO,Barn Swallow,Tropical Migrant
14,Occupancy,BCCH,monocots,0.2334,0.3732,-0.3767,0.2293,0.8509,1.002,5700,R,NO,Black-capped Chickadee,Resident
15,Occupancy,BEKI,monocots,-0.206,0.3816,-0.8371,-0.1998,0.3983,1.0009,5700,S,NO,Belted Kingfisher,Short-Distance Migrant
16,Occupancy,BGGN,monocots,0.3963,0.3091,-0.1027,0.3877,0.9175,1.0015,5700,S,NO,Blue-gray Gnatcatcher,Short-Distance Migrant
17,Occupancy,BHCO,monocots,-0.1682,0.3353,-0.7076,-0.1728,0.3892,1.001,5207,S,NO,Brown-headed Cowbird,Short-Distance Migrant
18,Occupancy,BHVI,monocots,-0.0781,0.4576,-0.8311,-0.0795,0.6805,1.0045,5700,T,NO,Blue-headed Vireo,Tropical Migrant
19,Occupancy,BLJA,monocots,-0.0491,0.3937,-0.6876,-0.0523,0.5982,1.0014,5700,S,NO,Blue Jay,Short-Distance Migrant
20,Occupancy,BOBO,monocots,-0.1652,0.4774,-0.946,-0.1565,0.6169,1.0002,5181,T,NO,Bobolink,Tropical Migrant
21,Occupancy,BRCR,monocots,0.1458,0.3404,-0.4084,0.1396,0.7106,1.0001,5918,S,NO,Brown Creeper,Short-Distance Migrant
22,Occupancy,BRTH,monocots,-0.5696,0.4321,-1.2968,-0.5585,0.1208,1.0006,5700,S,NO,Brown Thrasher,Short-Distance Migrant
23,Occupancy,BTNW,monocots,-0.158,0.4777,-0.9561,-0.1546,0.6412,1.0015,5700,T,NO,Black-throated Green Warbler,Tropical Migrant
24,Occupancy,BWHA,monocots,-0.0482,0.432,-0.7463,-0.048,0.6604,1.0031,5700,T,NO,Broad-winged Hawk,Tropical Migrant
25,Occupancy,BWWA,monocots,-0.4824,0.3904,-1.1293,-0.4709,0.1353,1.001,5700,T,NO,Blue-winged Warbler,Tropical Migrant
26,Occupancy,CANG,monocots,-0.1771,0.4191,-0.871,-0.1712,0.505,1.0017,5415,S,NO,Canada Goose,Short-Distance Migrant
27,Occupancy,CARW,monocots,0.1764,0.289,-0.2883,0.1717,0.6579,1.001,5700,R,NO,Carolina Wren,Resident
28,Occupancy,CEDW,monocots,-1.0077,0.3221,-1.5814,-0.9855,-0.5257,1.0031,5700,S,YES,Cedar Waxwing,Short-Distance Migrant
29,Occupancy,CERW,monocots,-0.1515,0.4892,-0.9668,-0.1519,0.6366,1.0013,5732,T,NO,Cerulean Warbler,Tropical Migrant
30,Occupancy,CHSP,monocots,0.0524,0.3067,-0.4406,0.0503,0.5512,1.0012,5642,S,NO,Chipping Sparrow,Short-Distance Migrant
31,Occupancy,CHSW,monocots,-0.3923,0.3757,-0.9868,-0.3938,0.2326,1.0005,5700,T,NO,Chimney Swift,Tropical Migrant
32,Occupancy,CLSW,monocots,-0.3965,0.4624,-1.1706,-0.3909,0.3549,1.0004,5475,T,NO,Cliff Swallow,Tropical Migrant
33,Occupancy,COGR,monocots,-0.4498,0.2986,-0.9521,-0.4413,0.0302,1.0024,5700,S,NO,Common Grackle,Short-Distance Migrant
34,Occupancy,COHA,monocots,-0.3045,0.3534,-0.8979,-0.2927,0.2637,1.0012,5700,S,NO,Cooper's Hawk,Short-Distance Migrant
35,Occupancy,COYE,monocots,-0.4032,0.2383,-0.7998,-0.3984,-0.0214,1.0007,5700,T,YES,Common Yellowthroat,Tropical Migrant
36,Occupancy,DEJU,monocots,0.2208,0.3267,-0.2909,0.2104,0.7695,1.0005,5439,S,NO,Dark-eyed Junco,Short-Distance Migrant
37,Occupancy,DOWO,monocots,-0.0939,0.3618,-0.666,-0.1003,0.5012,1.0007,5700,R,NO,Downy Woodpecker,Resident
38,Occupancy,EABL,monocots,-0.104,0.2986,-0.6078,-0.0963,0.3805,1.0004,5673,S,NO,Eastern Bluebird,Short-Distance Migrant
39,Occupancy,EAKI,monocots,-0.5334,0.3769,-1.1694,-0.5223,0.0641,1.0001,5700,T,NO,Eastern Kingbird,Tropical Migrant
40,Occupancy,EAME,monocots,-0.1567,0.422,-0.8318,-0.1527,0.5418,1.0001,5700,S,NO,Eastern Meadowlark,Short-Distance Migrant
41,Occupancy,EAPH,monocots,0.3168,0.3013,-0.1772,0.3161,0.8103,1.0022,5700,S,NO,Eastern Phoebe,Short-Distance Migrant
