
Call:
msPGOcc(occ.formula = occ_landvegrda, det.formula = det_best, data = bbs_occobject_three, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, n.omp.threads = n.omp.threads, 
    verbose = TRUE, n.report = n.report, n.burn = n.burn, n.thin = n.thin, 
    n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 68.0492

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-ACFL         0.4795 0.2651  0.0605  0.4741  0.9220 1.0020 1071
(Intercept)-ALFL        -4.5947 1.4140 -6.7770 -4.6883 -2.3057 1.0635  415
(Intercept)-AMCR         0.6640 0.6036 -0.1508  0.5996  1.7513 1.0096 1158
(Intercept)-AMGO         3.6759 1.1863  2.2157  3.4453  5.8509 1.0044  653
(Intercept)-AMKE        -4.5390 1.3497 -6.6270 -4.5806 -2.2714 1.0514  648
(Intercept)-AMRE        -1.9709 1.0303 -3.2445 -2.1597 -0.0294 1.0497  402
(Intercept)-AMRO         3.1517 0.5594  2.3249  3.1059  4.1745 1.0037 1200
(Intercept)-AMWO        -4.3070 1.1007 -6.0399 -4.3353 -2.5876 1.0048  832
(Intercept)-BADO        -3.0168 1.2500 -4.8170 -3.1800 -0.7609 1.0100  389
(Intercept)-BAEA        -3.2731 1.4687 -5.2897 -3.4702 -0.4995 1.0517  359
(Intercept)-BANS        -4.3608 1.2114 -6.2762 -4.3233 -2.4280 1.0109  621
(Intercept)-BAOR        -0.2614 0.3623 -0.8114 -0.2675  0.3385 1.0018 1078
(Intercept)-BARS        -1.8193 0.7367 -2.8929 -1.8805 -0.5469 1.0244  864
(Intercept)-BCCH         3.1986 0.7511  2.1891  3.0905  4.5864 1.0014  873
(Intercept)-BEKI        -0.0931 1.3312 -1.7015 -0.3591  2.3801 1.0742  343
(Intercept)-BGGN         1.4819 0.4920  0.7848  1.4157  2.3728 1.0028 1046
(Intercept)-BHCO         2.3511 0.6431  1.5089  2.2436  3.4994 1.0098 1200
(Intercept)-BHVI        -4.2710 1.3098 -6.4624 -4.2802 -2.1327 1.0392  729
(Intercept)-BLJA         2.9920 0.8362  2.0393  2.8017  4.5383 1.0076  909
