Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Acadian Flycatcher,Intercept,0.4795,0.2651,0.0605,0.4741,0.922,1.002,1071,NE,YES
Occupancy,Alder Flycatcher,Intercept,-4.5947,1.414,-6.777,-4.6883,-2.3057,1.0635,415,NE,YES
Occupancy,American Crow,Intercept,0.664,0.6036,-0.1508,0.5996,1.7513,1.0096,1158,R,NO
Occupancy,American Goldfinch,Intercept,3.6759,1.1863,2.2157,3.4453,5.8509,1.0044,653,M,YES
Occupancy,American Kestrel,Intercept,-4.539,1.3497,-6.627,-4.5806,-2.2714,1.0514,648,R,YES
Occupancy,American Redstart,Intercept,-1.9709,1.0303,-3.2445,-2.1597,-0.0294,1.0497,402,NE,YES
Occupancy,American Robin,Intercept,3.1517,0.5594,2.3249,3.1059,4.1745,1.0037,1200,M,YES
Occupancy,American Woodcock,Intercept,-4.307,1.1007,-6.0399,-4.3353,-2.5876,1.0048,832,M,YES
Occupancy,Barred Owl,Intercept,-3.0168,1.25,-4.817,-3.18,-0.7609,1.01,389,R,YES
Occupancy,Bald Eagle,Intercept,-3.2731,1.4687,-5.2897,-3.4702,-0.4995,1.0517,359,R,YES
Occupancy,Bank Swallow,Intercept,-4.3608,1.2114,-6.2762,-4.3233,-2.428,1.0109,621,NE,YES
Occupancy,Baltimore Oriole,Intercept,-0.2614,0.3623,-0.8114,-0.2675,0.3385,1.0018,1078,NE,NO
Occupancy,Barn Swallow,Intercept,-1.8193,0.7367,-2.8929,-1.8805,-0.5469,1.0244,864,NE,YES
Occupancy,Black-capped Chickadee,Intercept,3.1986,0.7511,2.1891,3.0905,4.5864,1.0014,873,R,YES
Occupancy,Belted Kingfisher,Intercept,-0.0931,1.3312,-1.7015,-0.3591,2.3801,1.0742,343,R,NO
Occupancy,Blue-gray Gnatcatcher,Intercept,1.4819,0.492,0.7848,1.4157,2.3728,1.0028,1046,M,YES
Occupancy,Brown-headed Cowbird,Intercept,2.3511,0.6431,1.5089,2.2436,3.4994,1.0098,1200,M,YES
Occupancy,Blue-headed Vireo,Intercept,-4.271,1.3098,-6.4624,-4.2802,-2.1327,1.0392,729,NE,YES
Occupancy,Blue Jay,Intercept,2.992,0.8362,2.0393,2.8017,4.5383,1.0076,909,M,YES
Occupancy,Bobolink,Intercept,-5.9809,1.7012,-8.9829,-5.8912,-3.4378,1.0026,622,NE,YES
Occupancy,Brown Creeper,Intercept,-2.0902,0.6487,-3.0543,-2.1453,-0.8997,0.9998,1005,M,YES
Occupancy,Brown Thrasher,Intercept,-3.7379,0.8956,-5.2906,-3.7319,-2.2943,1.0055,1091,M,YES
Occupancy,Black-throated Green Warbler,Intercept,-5.8243,1.699,-8.8673,-5.7241,-3.1852,1.0036,619,NE,YES
Occupancy,Broad-winged Hawk,Intercept,-3.3015,1.4694,-5.2931,-3.5371,-0.4393,1.0294,272,NE,YES
Occupancy,Blue-winged Warbler,Intercept,-2.5954,0.9889,-3.8631,-2.7492,-0.8374,1.0103,530,NE,YES
Occupancy,Canada Goose,Intercept,-0.0545,1.4974,-2.0328,-0.2637,2.8122,1.0019,267,R,NO
Occupancy,Carolina Wren,Intercept,0.6262,0.5179,-0.1136,0.5629,1.5365,1.0035,1200,R,NO
Occupancy,Cedar Waxwing,Intercept,0.0284,0.3662,-0.5221,-0.0059,0.6662,1.0224,1093,M,NO
Occupancy,Cerulean Warbler,Intercept,-5.9359,1.7393,-8.9072,-5.8869,-3.2028,1.051,575,NE,YES
Occupancy,Chipping Sparrow,Intercept,-0.7317,0.5725,-1.5091,-0.8208,0.2969,1.0027,1004,M,NO
Occupancy,Chimney Swift,Intercept,2.2045,1.1505,0.8641,1.9885,4.3797,1.0412,522,NE,YES
Occupancy,Cliff Swallow,Intercept,-4.3803,1.4903,-6.5721,-4.4791,-1.8652,1.029,457,NE,YES
Occupancy,Common Grackle,Intercept,0.1745,0.4507,-0.4892,0.1338,0.9684,1.0009,1200,M,NO
Occupancy,Cooper's Hawk,Intercept,-2.3931,0.7237,-3.3415,-2.4858,-1.1208,1.0138,597,M,YES
Occupancy,Common Yellowthroat,Intercept,-0.992,0.254,-1.4063,-0.9963,-0.5612,1.003,1216,NE,YES
Occupancy,Dark-eyed Junco,Intercept,-1.8422,0.5204,-2.6389,-1.8722,-0.9336,1.0126,1200,R,YES
Occupancy,Downy Woodpecker,Intercept,2.669,0.6671,1.8201,2.5669,3.8265,1.0144,707,R,YES
Occupancy,Eastern Bluebird,Intercept,-0.5614,0.7132,-1.4261,-0.6964,0.6675,1.0249,646,M,NO
Occupancy,Eastern Kingbird,Intercept,-3.0933,0.5865,-4.0682,-3.1018,-2.1111,1.0104,1083,NE,YES
Occupancy,Eastern Meadowlark,Intercept,-4.3585,0.9599,-5.8753,-4.3625,-2.8045,1.0093,916,M,YES
Occupancy,Eastern Phoebe,Intercept,-1.2902,0.5385,-2.0192,-1.3594,-0.3483,1.0049,1345,M,YES
Occupancy,Eastern Towhee,Intercept,-1.1672,0.352,-1.7001,-1.1943,-0.5231,1.001,1200,M,YES
Occupancy,Eastern Wood-Pewee,Intercept,2.7375,0.4244,2.1114,2.6992,3.4944,1.0008,1059,NE,YES
Occupancy,European Starling,Intercept,-2.1543,0.4399,-2.8899,-2.1523,-1.4208,0.9997,1080,R,YES
Occupancy,Field Sparrow,Intercept,-3.0489,0.4026,-3.7277,-3.0396,-2.4326,1.0034,1200,M,YES
Occupancy,Great Blue Heron,Intercept,-1.9543,1.0978,-3.2964,-2.1055,-0.2612,1.0333,247,M,YES
Occupancy,Great Crested Flycatcher,Intercept,2.6095,1.291,1.1302,2.2544,5.2238,1.0206,438,NE,YES
Occupancy,Great Horned Owl,Intercept,-4.1427,1.5728,-6.2981,-4.2601,-1.4513,1.0462,225,R,YES
Occupancy,Gray Catbird,Intercept,0.156,0.2454,-0.2332,0.1465,0.5568,1.0062,1200,M,NO
Occupancy,Green Heron,Intercept,-4.3028,1.4407,-6.3496,-4.3973,-1.9016,1.0237,459,M,YES
Occupancy,Hairy Woodpecker,Intercept,2.5073,1.4751,0.5977,2.2298,5.3279,1.028,437,R,YES
Occupancy,Herring Gull,Intercept,-5.1204,1.115,-7.0105,-5.1121,-3.4088,1.032,1033,R,YES
