"","SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6"
"1283","","ACFL","","Acadian Flycatcher","Empidonax virescens","EMPVIR",""
"1284","","ALFL","","Alder Flycatcher","Empidonax alnorum","EMPALN",""
"1474","","AMCR","","American Crow","Corvus brachyrhynchos","CORBRA",""
"1869","","AMGO","","American Goldfinch","Spinus tristis","SPITRI",""
"1061","","AMKE","","American Kestrel","Falco sparverius","FALSPA",""
"2108","","AMRE","","American Redstart","Setophaga ruticilla","SETRUT",""
"1717","","AMRO","","American Robin","Turdus migratorius","TURMIG",""
"552","","AMWO","","American Woodcock","Scolopax minor","SCOMIN",""
"915","","BADO","*","Barred Owl","Strix varia","STRVAR",""
"845","","BAEA","","Bald Eagle","Haliaeetus leucocephalus","HALLEU",""
"1513","","BANS","*","Bank Swallow","Riparia riparia","RIPRIP",""
"2044","","BAOR","","Baltimore Oriole","Icterus galbula","ICTGAL",""
"1531","","BARS","*","Barn Swallow","Hirundo rustica","HIRRUS",""
"1490","","BCCH","","Black-capped Chickadee","Poecile atricapillus","POEATR",""
"964","","BEKI","","Belted Kingfisher","Megaceryle alcyon","MEGALC",""
"1582","","BGGN","","Blue-gray Gnatcatcher","Polioptila caerulea","POLCAE",""
"2055","","BHCO","","Brown-headed Cowbird","Molothrus ater","MOLATE",""
"1426","","BHVI","","Blue-headed Vireo","Vireo solitarius","VIRSOL",""
"1461","","BLJA","","Blue Jay","Cyanocitta cristata","CYACRI",""
"2007","","BOBO","","Bobolink","Dolichonyx oryzivorus","DOLORY",""
"1575","","BRCR","","Brown Creeper","Certhia americana","CERAME",""
"1652","","BRTH","","Brown Thrasher","Toxostoma rufum","TOXRUF",""
"2144","","BTNW","*","Black-throated Green Warbler","Setophaga virens","SETVIR",""
"870","","BWHA","","Broad-winged Hawk","Buteo platypterus","BUTPLT","*"
"2076","","BWWA","","Blue-winged Warbler","Vermivora cyanoptera","VERCYA",""
"37","","CANG","*","Canada Goose","Branta canadensis","BRACAN",""
"1607","","CARW","*","Carolina Wren","Thryothorus ludovicianus","THRLUD",""
"1560","","CEDW","*","Cedar Waxwing","Bombycilla cedrorum","BOMCED",""
"2111","","CERW","*","Cerulean Warbler","Setophaga cerulea","SETCER",""
"1910","","CHSP","","Chipping Sparrow","Spizella passerina","SPIPAS",""
"295","","CHSW","","Chimney Swift","Chaetura pelagica","CHAPEL",""
"1533","","CLSW","","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",""
"2061","","COGR","","Common Grackle","Quiscalus quiscula","QUIQUI",""
"839","","COHA","","Cooper's Hawk","Accipiter cooperii","ACCCOO",""
"2101","","COYE","","Common Yellowthroat","Geothlypis trichas","GEOTRI",""
"1926","","DEJU","","Dark-eyed Junco","Junco hyemalis","JUNHYE",""
"1020","","DOWO","","Downy Woodpecker","Dryobates pubescens","DRYPUB",""
"1668","","EABL","","Eastern Bluebird","Sialia sialis","SIASIA",""
"1257","","EAKI","","Eastern Kingbird","Tyrannus tyrannus","TYRTYR",""
"2008","","EAME","","Eastern Meadowlark","Sturnella magna","STUMAG",""
"1303","","EAPH","","Eastern Phoebe","Sayornis phoebe","SAYPHO",""
"1984","","EATO","","Eastern Towhee","Pipilo erythrophthalmus","PIPERY",""
"1275","","EAWP","","Eastern Wood-Pewee","Contopus virens","CONVIR",""
"1665","","EUST","","European Starling","Sturnus vulgaris","STUVUL",""
"1913","","FISP","","Field Sparrow","Spizella pusilla","SPIPUS",""
"782","","GBHE","","Great Blue Heron","Ardea herodias","ARDHER",""
"1228","","GCFL","","Great Crested Flycatcher","Myiarchus crinitus","MYICRI",""
"899","","GHOW","","Great Horned Owl","Bubo virginianus","BUBVIR",""
"1644","","GRCA","","Gray Catbird","Dumetella carolinensis","DUMCAR",""
"799","","GRHE","","Green Heron","Butorides virescens","BUTVIR",""
"1024","","HAWO","","Hairy Woodpecker","Dryobates villosus","DRYVIL",""
"629","","HERG","*","Herring Gull","Larus argentatus","LARARG",""
"1697","","HETH","","Hermit Thrush","Catharus guttatus","CATGUT",""
"1845","","HOFI","","House Finch","Haemorhous mexicanus","HAEMEX",""
"1762","","HOSP","","House Sparrow","Passer domesticus","PASDOM",""
"2107","","HOWA","","Hooded Warbler","Setophaga citrina","SETCIT",""
"1594","","HOWR","","House Wren","Troglodytes aedon","TROAED",""
"2195","","INBU","","Indigo Bunting","Passerina cyanea","PASCYA",""
"494","","KILL","","Killdeer","Charadrius vociferus","CHAVOC",""
"2072","","LOWA","","Louisiana Waterthrush","Parkesia motacilla","PARMOT",""
"69","","MALL","","Mallard","Anas platyrhynchos","ANAPLA",""
"227","","MODO","","Mourning Dove","Zenaida macroura","ZENMAC",""
"2181","","NOCA","","Northern Cardinal","Cardinalis cardinalis","CARCAI","*"
"1036","","NOFL","","Northern Flicker","Colaptes auratus","COLAUT","*"
"2112","","NOPA","","Northern Parula","Setophaga americana","SETAME",""
"1522","","NRWS","","Northern Rough-winged Swallow","Stelgidopteryx serripennis","STESER",""
"2030","","OROR","","Orchard Oriole","Icterus spurius","ICTSPU",""
"2070","","OVEN","","Ovenbird","Seiurus aurocapilla","SEIAUR",""
"1045","","PIWO","","Pileated Woodpecker","Dryocopus pileatus","DRYPIL",""
