
Call:
msPGOcc(occ.formula = bbs_occobject_fulllandveg.occ.formula, det.formula = bbs_occobject.det.best.formula, 
    data = bbs_occobject, inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, 
    n.report = 6000, n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 58.0988

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                                Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-sp1               0.1912 0.2455 -0.2078  0.1899  0.6009 1.0090 1093
(Intercept)-sp2              -4.6216 1.3150 -6.5972 -4.6522 -2.7102 1.0256  456
(Intercept)-sp3              -0.0465 0.3586 -0.5501 -0.0850  0.5649 0.9996 1200
(Intercept)-sp4               2.6628 0.7363  1.7370  2.5167  4.0829 1.0012  918
(Intercept)-sp5              -4.5448 1.2468 -6.5234 -4.5515 -2.5535 1.0195  711
(Intercept)-sp6              -2.9672 0.5013 -3.8005 -2.9684 -2.1472 1.0028 1332
(Intercept)-sp7               2.6351 0.3827  2.0564  2.6161  3.3281 1.0034 1200
(Intercept)-sp8              -4.2750 0.9362 -5.7557 -4.2818 -2.7891 1.0100  781
(Intercept)-sp9              -3.2875 1.1487 -5.0193 -3.3625 -1.4129 1.0593  518
(Intercept)-sp10             -3.4377 1.4129 -5.4218 -3.5510 -1.0869 1.0404  228
(Intercept)-sp11             -4.2338 1.1182 -5.9617 -4.2777 -2.3513 1.0111  708
(Intercept)-sp12             -0.4231 0.3099 -0.8826 -0.4433  0.1168 1.0095 1200
(Intercept)-sp13             -1.8667 0.8009 -2.9120 -1.9691 -0.4795 1.0097  740
(Intercept)-sp14              3.0492 0.7445  2.1018  2.9244  4.3819 1.0028 1499
(Intercept)-sp15             -0.9004 0.7970 -2.0151 -1.0176  0.5679 1.0293  800
(Intercept)-sp16              1.2169 0.4115  0.6409  1.1651  1.9481 1.0029 1200
(Intercept)-sp17              1.9184 0.4518  1.2985  1.8608  2.7602 1.0106 1318
(Intercept)-sp18             -4.5263 1.1771 -6.4949 -4.5051 -2.5598 1.0061  870
(Intercept)-sp19              2.3014 0.4144  1.6946  2.2660  3.0576 1.0040 1200
(Intercept)-sp20             -5.9315 1.5924 -8.6984 -5.8624 -3.5178 1.0040  696
(Intercept)-sp21             -2.2452 0.4955 -3.0463 -2.2624 -1.4093 1.0001 1086
(Intercept)-sp22             -3.4084 0.9812 -4.9642 -3.4596 -1.7278 1.0190  900
(Intercept)-sp23             -6.0107 1.5531 -8.5702 -5.9199 -3.6457 1.0048  745
(Intercept)-sp24             -3.6784 1.1212 -5.3441 -3.7311 -1.6608 1.0054  646
(Intercept)-sp25             -3.3745 0.6747 -4.4806 -3.3688 -2.2742 1.0035 1200
(Intercept)-sp26             -1.1440 1.0144 -2.5616 -1.2652  0.7494 1.0214  522
(Intercept)-sp27              0.1637 0.4349 -0.4656  0.1294  0.9354 1.0039 1200
(Intercept)-sp28             -0.0582 0.3458 -0.5660 -0.0834  0.5700 1.0180 1200
(Intercept)-sp29             -5.9266 1.6624 -8.8318 -5.7489 -3.5001 1.0055  672
(Intercept)-sp30             -1.0978 0.3771 -1.6536 -1.1249 -0.4421 1.0008 1200
(Intercept)-sp31              1.1799 0.8611  0.2858  0.9589  2.7691 1.0027  590
(Intercept)-sp32             -4.7819 1.2724 -6.8246 -4.7529 -2.7632 1.0019  777
(Intercept)-sp33              0.1837 0.4613 -0.5138  0.1506  0.9889 1.0025 1200
(Intercept)-sp34             -2.4793 0.6421 -3.4043 -2.5297 -1.3784 1.0150  978
(Intercept)-sp35             -1.0629 0.2307 -1.4260 -1.0643 -0.6846 1.0103 1200
(Intercept)-sp36             -1.9924 0.4749 -2.7297 -2.0139 -1.1967 1.0014  831
(Intercept)-sp37              2.5932 0.7328  1.6919  2.4727  3.9329 1.0176 1082
(Intercept)-sp38             -0.5668 0.7065 -1.4414 -0.6972  0.7318 1.0040  776
(Intercept)-sp39             -3.3130 0.5225 -4.1736 -3.2948 -2.4844 1.0180 1200
(Intercept)-sp40             -4.3644 0.8717 -5.8061 -4.3212 -3.0242 1.0061 1200
(Intercept)-sp41             -1.2582 0.5584 -2.0354 -1.3392 -0.2941 1.0017  964
(Intercept)-sp42             -1.3823 0.3055 -1.8821 -1.3766 -0.9121 1.0010 1200
(Intercept)-sp43              2.7687 0.4725  2.0906  2.7270  3.5825 1.0091 1200
(Intercept)-sp44             -2.1292 0.3770 -2.7591 -2.1167 -1.5334 1.0028 1200
