
Call:
msPGOcc(occ.formula = occ_fullrda, det.formula = det_best, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, 
    n.omp.threads = n.omp.threads, verbose = TRUE, n.report = n.report, 
    n.burn = n.burn, n.thin = n.thin, n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 51.4768

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                         Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-ACFL       0.5482 0.2410  0.1608  0.5452  0.9465 1.0023 1200
(Intercept)-ALFL      -4.2721 1.4454 -6.5804 -4.3193 -1.7713 1.0584  496
(Intercept)-AMCR       0.8367 0.3888  0.2908  0.7979  1.5512 1.0007 1200
(Intercept)-AMGO       3.7467 0.7457  2.6876  3.6801  5.1222 1.0091 1057
(Intercept)-AMKE      -3.0630 1.4614 -5.0815 -3.2267 -0.4108 1.0017  420
(Intercept)-AMRE      -2.0066 0.7486 -3.0317 -2.1006 -0.7317 1.0074  798
(Intercept)-AMRO       3.8090 0.7284  2.8114  3.7253  5.1973 1.0059 1059
(Intercept)-AMWO      -3.6494 0.8278 -4.9370 -3.6540 -2.3242 1.0042  747
(Intercept)-BADO       1.0152 2.1134 -1.8126  0.6719  5.0171 1.0079  197
(Intercept)-BAEA      -3.2111 1.5697 -5.3234 -3.4542 -0.4850 1.0103  205
(Intercept)-BANS      -4.2393 1.2443 -6.1887 -4.2962 -2.0944 1.0052  727
(Intercept)-BAOR       0.3505 0.3602 -0.1892  0.3286  0.9424 1.0070 1200
(Intercept)-BARS      -1.9659 0.3710 -2.5925 -1.9736 -1.3556 1.0015 1200
(Intercept)-BCCH       4.4632 0.9768  3.1629  4.2933  6.4011 1.0016  982
(Intercept)-BEKI      -0.2984 1.0338 -1.4446 -0.5165  1.5876 1.0267  396
(Intercept)-BGGN       1.8781 0.4216  1.3090  1.8191  2.6471 1.0193 1314
(Intercept)-BHCO       2.9723 0.6824  2.0822  2.8639  4.1670 1.0087  887
(Intercept)-BHVI      -4.1833 1.3880 -6.3055 -4.2597 -1.7514 1.0024  478
