Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,AcadianFlycatcher,Intercept,0.1912,0.2455,-0.2078,0.1899,0.6009,1.009,1093,NE,NO
Occupancy,AlderFlycatcher,Intercept,-4.6216,1.315,-6.5972,-4.6522,-2.7102,1.0256,456,NE,YES
Occupancy,AmericanCrow,Intercept,-0.0465,0.3586,-0.5501,-0.085,0.5649,0.9996,1200,R,NO
Occupancy,AmericanGoldfinch,Intercept,2.6628,0.7363,1.737,2.5167,4.0829,1.0012,918,M,YES
Occupancy,AmericanKestrel,Intercept,-4.5448,1.2468,-6.5234,-4.5515,-2.5535,1.0195,711,R,YES
Occupancy,AmericanRedstart,Intercept,-2.9672,0.5013,-3.8005,-2.9684,-2.1472,1.0028,1332,NE,YES
Occupancy,AmericanRobin,Intercept,2.6351,0.3827,2.0564,2.6161,3.3281,1.0034,1200,M,YES
Occupancy,AmericanWoodcock,Intercept,-4.275,0.9362,-5.7557,-4.2818,-2.7891,1.01,781,M,YES
Occupancy,BarredOwl,Intercept,-3.2875,1.1487,-5.0193,-3.3625,-1.4129,1.0593,518,R,YES
Occupancy,BaldEagle,Intercept,-3.4377,1.4129,-5.4218,-3.551,-1.0869,1.0404,228,R,YES
Occupancy,BankSwallow,Intercept,-4.2338,1.1182,-5.9617,-4.2777,-2.3513,1.0111,708,NE,YES
Occupancy,BaltimoreOriole,Intercept,-0.4231,0.3099,-0.8826,-0.4433,0.1168,1.0095,1200,NE,NO
Occupancy,BarnSwallow,Intercept,-1.8667,0.8009,-2.912,-1.9691,-0.4795,1.0097,740,NE,YES
Occupancy,Black-cappedChickadee,Intercept,3.0492,0.7445,2.1018,2.9244,4.3819,1.0028,1499,R,YES
Occupancy,BeltedKingfisher,Intercept,-0.9004,0.797,-2.0151,-1.0176,0.5679,1.0293,800,R,NO
Occupancy,Blue-grayGnatcatcher,Intercept,1.2169,0.4115,0.6409,1.1651,1.9481,1.0029,1200,M,YES
Occupancy,Brown-headedCowbird,Intercept,1.9184,0.4518,1.2985,1.8608,2.7602,1.0106,1318,M,YES
Occupancy,Blue-headedVireo,Intercept,-4.5263,1.1771,-6.4949,-4.5051,-2.5598,1.0061,870,NE,YES
Occupancy,BlueJay,Intercept,2.3014,0.4144,1.6946,2.266,3.0576,1.004,1200,M,YES
Occupancy,Bobolink,Intercept,-5.9315,1.5924,-8.6984,-5.8624,-3.5178,1.004,696,NE,YES
Occupancy,BrownCreeper,Intercept,-2.2452,0.4955,-3.0463,-2.2624,-1.4093,1.0001,1086,M,YES
Occupancy,BrownThrasher,Intercept,-3.4084,0.9812,-4.9642,-3.4596,-1.7278,1.019,900,M,YES
Occupancy,Black-throatedGreenWarbler,Intercept,-6.0107,1.5531,-8.5702,-5.9199,-3.6457,1.0048,745,NE,YES
Occupancy,Broad-wingedHawk,Intercept,-3.6784,1.1212,-5.3441,-3.7311,-1.6608,1.0054,646,NE,YES
Occupancy,Blue-wingedWarbler,Intercept,-3.3745,0.6747,-4.4806,-3.3688,-2.2742,1.0035,1200,NE,YES
Occupancy,CanadaGoose,Intercept,-1.144,1.0144,-2.5616,-1.2652,0.7494,1.0214,522,R,NO
Occupancy,CarolinaWren,Intercept,0.1637,0.4349,-0.4656,0.1294,0.9354,1.0039,1200,R,NO
Occupancy,CedarWaxwing,Intercept,-0.0582,0.3458,-0.566,-0.0834,0.57,1.018,1200,M,NO
Occupancy,CeruleanWarbler,Intercept,-5.9266,1.6624,-8.8318,-5.7489,-3.5001,1.0055,672,NE,YES
Occupancy,ChippingSparrow,Intercept,-1.0978,0.3771,-1.6536,-1.1249,-0.4421,1.0008,1200,M,YES
Occupancy,ChimneySwift,Intercept,1.1799,0.8611,0.2858,0.9589,2.7691,1.0027,590,NE,YES
Occupancy,CliffSwallow,Intercept,-4.7819,1.2724,-6.8246,-4.7529,-2.7632,1.0019,777,NE,YES
