"plot_id","id","site name","reservation","community","vibi","fqai","deer","year","panel","pcap id","fragment id","developed","activity area","closest developed","sanctioned trail","bootleg trail","closest trail","developed edge","stream edge","total edges","fragment area","fragment perimeter","ldi index score","area","perimeter","field_25"
"1001_1st",1,1001,North Chagrin,Steep Slope-Mixed Forest,,,,2010,Year_1,1,17349,147,5,5,,,,6679,0,6679,852672,4893,6.01,0,0,
"1007_1st",7,1007,Mill Stream Run,Mowed/Gravel Roadway,,,,2010,Year_1,7,1038,5,,5,,,,805,2311,3116,48493,1091,3.14,0,0,
"1020_1st",20,1020,Bedford,Mowed Ball Field,,,,2010,Year_1,20,3386,38,0,0,29,38,29,10139,8695,18834,1945098,13162,1.78,0,0,
"1023_1st",23,1023,Brecksville,Mowed Pkwy Right of way,,,,2010,Year_1,23,840,17,,17,,,,4567,0,4567,72768,2744,3.92,0,0,
"1027_1st",27,1027,South Chagrin,Mowed Hill,,,,2010,Year_1,27,2941,33,144,33,50,203,50,7217,0,7217,248816,3625,3.48,0,0,
"1032_1st",32,1032,South Chagrin,Streams and Rivers,,,,2010,Year_1,32,6908,159,195,159,22,38,22,11301,3296,14597,601646,6614,3.54,166311,2568,
"1036_1st",36,1036,Euclid Creek,Vertical slope- no veg,,,,2010,Year_1,36,16416,27,,27,156,180,156,9802,459,10262,369958,7666,3.57,0,0,
"1037_1st",37,1037,Hinckley,Mowed lawn,,,,2010,Year_1,37,672,73,,73,,,,7610,1898,9508,480020,4295,1.51,0,0,
"1042_1st",42,1042,Rocky River,Steep Slope-Mixed Forest,,,,2010,Year_1,42,7742,18,,18,,,,11734,0,11734,160258,4457,3.75,0,0,
"1186_1st",185,1186,Big Creek,Mowed berm,,,,2011,Year_2,209,1886,5,,5,,,,1673,145,1818,27801,1148,3.4,0,0,
"1049_1st",49,1049,North Chagrin,Mowed  Golf Course,,,,2010,Year_1,49,17349,95,0,0,,,,6679,0,6679,852672,4893,6.01,0,0,
"1056_1st",56,1056,North Chagrin,Eroded grassy slope,,,,2010,Year_1,56,16457,31,,31,,,,4724,1642,6365,101664,2878,2.24,0,0,
"1062_1st",62,1062,Mill Stream Run,Mowed Area,,,,2010,Year_1,62,2221,62,3,3,85,238,85,4516,0,4516,246183,3919,4.39,0,0,
"1079_1st",79,1079,Bedford,Mowed Right of way,,,,2010,Year_1,79,3482,8,,8,,,,2319,0,2319,7583,979,2.49,0,0,
"1084_1st",84,1084,Washington,Disturbed soil,,,,2010,Year_1,84,21578,22,0,0,,,,2568,0,2568,53547,1289,7.32,0,0,
"1085_1st",85,1085,Hinckley,Paved,,,,2010,Year_1,85,700,11,0,0,3,74,3,2872,1955,4827,467089,4305,1.77,0,0,
"1128_1st",127,1128,South Chagrin,Beech-red oak forest,67,25.62512554,low,2011,Year_2,152,10063,9,,9,445,447,445,12255,0,12255,371460,4714,2.0,0,0,
