"","rownames(landvegcomm)","longitude","latitude","observed_spprichness"
"1002","1002",2181967.9,561930.6958,22
"1003","1003",2150598.68,613095.3144,22
"1004","1004",2227457.636,626184.0695,28
"1005","1005",2191849.272,580242.4526,30
"1006","1006",2116879.072,635151.4827,26
"1008","1008",2190113.384,621267.8592,24
"1009","1009",2186182.757,567396.1611,25
"1011","1011",2241513.513,623270.5718,21
"1012","1012",2263429.237,693577.2818,21
"1013","1013",2190970.893,596438.663,14
"1014","1014",2151581.958,612517.5053,28
"1015","1015",2226477.246,626185.6161,26
"1016","1016",2266380.964,646223.4133,44
"1017","1017",2260568.219,695352.8595,16
"1018","1018",2187894.26,564057.8525,34
"1019","1019",2160511.772,592960.8469,32
"1021","1021",2179760.506,567027.9331,20
"1022","1022",2151597.112,657042.2365,35
"1024","1024",2173290.837,637383.3481,25
"1025","1025",2215292.393,600164.4452,27
"1026","1026",2136016.723,633206.6968,27
"1028","1028",2261723.475,689849.4643,18
"1029","1029",2225137.645,590507.5352,26
"1030","1030",2151240.743,650458.3417,25
"1031","1031",2223901.045,623295.8898,21
"1033","1033",2264047.544,699030.968,25
"1034","1034",2190429.383,563523.2476,28
"1035","1035",2152809.535,606855.6288,21
"1038","1038",2154560.847,651535.0321,21
"1039","1039",2165865.361,596993.6822,22
"1040","1040",2259264.385,696133.0471,22
"1041","1041",2214513.649,598622.8516,28
"1043","1043",2216787.657,614252.6505,30
"1044","1044",2266014.235,692209.1489,19
"1045","1045",2219764.989,595824.6571,29
"1046","1046",2149965.569,624325.8422,32
"1047","1047",2228795.494,623138.4355,18
"1048","1048",2266551.15,638207.2539,28
"1050","1050",2120729.268,639191.537,21
"1051","1051",2159622.634,597896.6584,27
"1052","1052",2203140.7,639328.5574,23
"1053","1053",2187352.044,565405.1136,34
"1054","1054",2144400.279,639179.7802,33
"1055","1055",2250167.576,637101.9904,27
"1057","1057",2213668.499,602810.2059,22
"1058","1058",2145344.006,641260.9315,15
"1059","1059",2223527.353,615388.9724,26
"1060","1060",2263227.466,641871.0956,22
"1061","1061",2216609.061,598036.6266,19
"1063","1063",2230991.906,625087.064,38
"1064","1064",2262711.436,638547.7416,34
"1065","1065",2264141.262,695405.8033,25
"1066","1066",2181709.154,563957.2839,25
"1067","1067",2147738.446,612013.5189,22
"1068","1068",2231689.16,628206.0974,23
"1069","1069",2190738.999,579189.2087,40
"1070","1070",2114301.01,635733.1116,14
"1071","1071",2162440.306,600384.466,31
"1072","1072",2190472.955,629532.4702,26
"1073","1073",2187918.784,569530.8296,35
"1074","1074",2138858.014,631530.6873,46
"1075","1075",2247531.932,626834.6861,33
"1076","1076",2263846.574,694330.4702,25
"1077","1077",2172880.806,597778.555,17
"1078","1078",2152700.65,620510.0084,29
"1080","1080",2267303.796,648615.9329,32
"1081","1081",2261183.451,696690.1183,26
"1082","1082",2188279.301,562788.6588,33
"1083","1083",2159257.669,595641.0817,29
"1086","1086",2153444.795,657613.8035,34
"1087","1087",2167971.682,595741.9611,18
"1088","1088",2178369.069,649557.858,25
"1089","1089",2213601.56,600588.925,26
"1090","1090",2135595.985,633515.6014,37
"1091","1091",2241667.675,625746.4449,19
"1092","1092",2262218.316,690983.7531,19
"1093","1093",2220880.891,592723.029,23
"1094","1094",2151712.804,646448.5016,31
"1097","1097",2261018.888,698272.6491,33
"1098","1098",2189615.703,561075.4206,41
"1099","1099",2155998.26,602211.4337,24
"1100","1100",2259115.53,692179.4817,20
"1101","1101",2188952.553,566619.7758,24
"1102","1102",2151936.431,656310.2148,33
"1103","1103",2165766.983,594232.4084,12
"1104","1104",2267126.47,681651.0282,30
"1105","1105",2215919.22,597939.0801,29
"1107","1107",2221067.319,615648.8043,25
"1108","1108",2268133.557,652512.3158,32
"1110","1110",2140858.877,628814.7316,20
"1111","1111",2228097.89,621784.1929,19
"1112","1112",2264643.033,640350.4073,26
"1113","1113",2262651.376,701149.8932,27
