"","model","wAIC"
"1","Null",23839.3686787262
"2","p ~ day",23755.7333034815
"3","p ~ day + time-of-day",23768.1258163472
"4","p ~ day^2 + day +tod",23755.8202414909
"5","p ~ day, psi ~ vibi-fq",23191.8754001479
"6","p ~ day, psi ~ vibi-fq-notree",23372.3596038261
"7","p ~ day, psi ~ tolerant + seedless vascular + dicots + cyperaceae + small trees",23183.0594512394
"8","p~day,psi~tolerant",23319.2515928204
"9","p~day,psi~tolerant + seedless vascular + dicot + cyperaceae + small trees +shrubs+hydro+subcanopy+canopy",23166.1202741047
"10","p~day,psi~fqi",23278.4903680137
